cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
1000001402367	M	20	티 베리에이션	1.0	0.0	3.0	11.0	20.0	13.0	3.0	0.0
9990001628904	F	40	에스프레소 베리에이션	63.0	0.0	4.0	19.0	69.0	0.0	0.0	0.0
9990001628904	F	40	음료	5.0	0.0	4.0	19.0	69.0	0.0	0.0	0.0
9990001628904	F	40	티 베리에이션	24.0	0.0	4.0	19.0	69.0	0.0	0.0	0.0
9990004522360	F	40	에스프레소 베리에이션	12.0	0.0	2.0	2.0	2.0	5.0	3.0	0.0
9990004522360	F	40	음료	1.0	0.0	2.0	2.0	2.0	5.0	3.0	0.0
9990004522360	F	40	티 베리에이션	1.0	0.0	2.0	2.0	2.0	5.0	3.0	0.0
1000000316113	M	40	에스프레소 베리에이션	36.0	0.0	6.0	13.0	8.0	23.0	1.0	0.0
1000000316113	M	40	음료	5.0	0.0	6.0	13.0	8.0	23.0	1.0	0.0
1000000316113	M	40	티 베리에이션	10.0	0.0	6.0	13.0	8.0	23.0	1.0	0.0
9990028594642	F	40	에스프레소 베리에이션	19.0	0.0	1.0	9.0	19.0	2.0	0.0	0.0
9990028594642	F	40	음료	11.0	0.0	1.0	9.0	19.0	2.0	0.0	0.0
9990028594642	F	40	티 베리에이션	1.0	0.0	1.0	9.0	19.0	2.0	0.0	0.0
1000000058820	M	30	에스프레소 베리에이션	35.0	0.0	4.0	11.0	18.0	5.0	2.0	0.0
1000000058820	M	30	음료	2.0	0.0	4.0	11.0	18.0	5.0	2.0	0.0
1000000058820	M	30	티 베리에이션	3.0	0.0	4.0	11.0	18.0	5.0	2.0	0.0
9990025517917	M	30	에스프레소 베리에이션	47.0	0.0	2.0	25.0	14.0	7.0	0.0	1.0
9990025517917	M	30	음료	1.0	0.0	2.0	25.0	14.0	7.0	0.0	1.0
9990025517917	M	30	티 베리에이션	1.0	0.0	2.0	25.0	14.0	7.0	0.0	1.0
1000000079757	F	40	에스프레소 베리에이션	14.0	0.0	0.0	6.0	17.0	3.0	3.0	0.0
1000000079757	F	40	음료	14.0	0.0	0.0	6.0	17.0	3.0	3.0	0.0
1000000079757	F	40	티 베리에이션	1.0	0.0	0.0	6.0	17.0	3.0	3.0	0.0
1000000835707	M	50	에스프레소 베리에이션	23.0	0.0	4.0	16.0	4.0	10.0	3.0	0.0
1000000835707	M	50	음료	12.0	0.0	4.0	16.0	4.0	10.0	3.0	0.0
1000000835707	M	50	티 베리에이션	2.0	0.0	4.0	16.0	4.0	10.0	3.0	0.0
9990000320530	F	30	에스프레소 베리에이션	6.0	0.0	13.0	20.0	6.0	0.0	0.0	0.0
9990000320530	F	30	음료	24.0	0.0	13.0	20.0	6.0	0.0	0.0	0.0
9990000320530	F	30	티 베리에이션	9.0	0.0	13.0	20.0	6.0	0.0	0.0	0.0
9990006244003	M	30	에스프레소 베리에이션	95.0	0.0	0.0	52.0	38.0	6.0	4.0	0.0
9990006244003	M	30	음료	3.0	0.0	0.0	52.0	38.0	6.0	4.0	0.0
9990006244003	M	30	티 베리에이션	2.0	0.0	0.0	52.0	38.0	6.0	4.0	0.0
9990015886348	M	30	에스프레소 베리에이션	56.0	0.0	28.0	32.0	14.0	0.0	0.0	0.0
9990015886348	M	30	음료	14.0	0.0	28.0	32.0	14.0	0.0	0.0	0.0
9990015886348	M	30	티 베리에이션	4.0	0.0	28.0	32.0	14.0	0.0	0.0	0.0
9990018845050	M	40	에스프레소 베리에이션	55.0	6.0	18.0	18.0	2.0	17.0	2.0	0.0
9990018845050	M	40	음료	7.0	6.0	18.0	18.0	2.0	17.0	2.0	0.0
9990018845050	M	40	티 베리에이션	1.0	6.0	18.0	18.0	2.0	17.0	2.0	0.0
9990022497821	F	20	에스프레소 베리에이션	23.0	0.0	2.0	13.0	9.0	3.0	0.0	0.0
9990022497821	F	20	음료	3.0	0.0	2.0	13.0	9.0	3.0	0.0	0.0
9990022497821	F	20	티 베리에이션	1.0	0.0	2.0	13.0	9.0	3.0	0.0	0.0
9990015829191	F	20	음료	13.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0
9990015829191	F	20	티 베리에이션	2.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0
1000000633290	F	30	에스프레소 베리에이션	132.0	0.0	57.0	70.0	26.0	11.0	0.0	0.0
1000000633290	F	30	음료	13.0	0.0	57.0	70.0	26.0	11.0	0.0	0.0
1000000633290	F	30	티 베리에이션	19.0	0.0	57.0	70.0	26.0	11.0	0.0	0.0
1000000453254	F	50	에스프레소 베리에이션	20.0	0.0	0.0	15.0	7.0	3.0	12.0	0.0
1000000453254	F	50	음료	11.0	0.0	0.0	15.0	7.0	3.0	12.0	0.0
1000000453254	F	50	티 베리에이션	6.0	0.0	0.0	15.0	7.0	3.0	12.0	0.0
9990003824368	M	50	에스프레소 베리에이션	41.0	0.0	3.0	15.0	16.0	11.0	3.0	0.0
9990003824368	M	50	음료	5.0	0.0	3.0	15.0	16.0	11.0	3.0	0.0
9990003824368	M	50	티 베리에이션	2.0	0.0	3.0	15.0	16.0	11.0	3.0	0.0
1000000521814	F	10	에스프레소 베리에이션	5.0	0.0	1.0	3.0	3.0	21.0	0.0	0.0
1000000521814	F	10	음료	22.0	0.0	1.0	3.0	3.0	21.0	0.0	0.0
1000000521814	F	10	티 베리에이션	1.0	0.0	1.0	3.0	3.0	21.0	0.0	0.0
9990001587837	F	40	에스프레소 베리에이션	112.0	1.0	7.0	86.0	40.0	3.0	0.0	0.0
9990001587837	F	40	음료	17.0	1.0	7.0	86.0	40.0	3.0	0.0	0.0
9990001587837	F	40	티 베리에이션	8.0	1.0	7.0	86.0	40.0	3.0	0.0	0.0
9990004490009	F	30	에스프레소 베리에이션	15.0	0.0	1.0	3.0	5.0	5.0	4.0	0.0
9990004490009	F	30	음료	3.0	0.0	1.0	3.0	5.0	5.0	4.0	0.0
1000000150603	F	40	에스프레소 베리에이션	20.0	0.0	10.0	11.0	0.0	0.0	4.0	0.0
1000000150603	F	40	음료	5.0	0.0	10.0	11.0	0.0	0.0	4.0	0.0
9990003844619	F	30	에스프레소 베리에이션	67.0	0.0	15.0	42.0	24.0	7.0	5.0	0.0
9990003844619	F	30	음료	10.0	0.0	15.0	42.0	24.0	7.0	5.0	0.0
9990003844619	F	30	티 베리에이션	16.0	0.0	15.0	42.0	24.0	7.0	5.0	0.0
9990001526960	F	30	에스프레소 베리에이션	35.0	0.0	0.0	29.0	5.0	15.0	1.0	0.0
