cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
1000000266145	F	40	에스프레소 베리에이션	31.0	0.0	40.0	24.0	22.0	22.0	1.0	0.0
1000000266145	F	40	음료	72.0	0.0	40.0	24.0	22.0	22.0	1.0	0.0
1000000266145	F	40	티 베리에이션	6.0	0.0	40.0	24.0	22.0	22.0	1.0	0.0
9990017085028	M	40	에스프레소 베리에이션	50.0	0.0	23.0	17.0	17.0	1.0	0.0	0.0
9990017085028	M	40	음료	6.0	0.0	23.0	17.0	17.0	1.0	0.0	0.0
9990017085028	M	40	티 베리에이션	2.0	0.0	23.0	17.0	17.0	1.0	0.0	0.0
9990021368311	F	40	에스프레소 베리에이션	23.0	0.0	6.0	11.0	7.0	4.0	0.0	0.0
9990021368311	F	40	음료	4.0	0.0	6.0	11.0	7.0	4.0	0.0	0.0
9990021368311	F	40	티 베리에이션	1.0	0.0	6.0	11.0	7.0	4.0	0.0	0.0
9990025126478	F	40	에스프레소 베리에이션	92.0	0.0	3.0	66.0	53.0	4.0	2.0	0.0
9990025126478	F	40	음료	9.0	0.0	3.0	66.0	53.0	4.0	2.0	0.0
9990025126478	F	40	티 베리에이션	27.0	0.0	3.0	66.0	53.0	4.0	2.0	0.0
9990006306599	F	30	에스프레소 베리에이션	30.0	0.0	0.0	27.0	7.0	17.0	0.0	0.0
9990006306599	F	30	음료	11.0	0.0	0.0	27.0	7.0	17.0	0.0	0.0
9990006306599	F	30	티 베리에이션	10.0	0.0	0.0	27.0	7.0	17.0	0.0	0.0
9990013411460	F	20	에스프레소 베리에이션	176.0	0.0	3.0	182.0	6.0	6.0	17.0	0.0
9990013411460	F	20	음료	22.0	0.0	3.0	182.0	6.0	6.0	17.0	0.0
9990013411460	F	20	티 베리에이션	16.0	0.0	3.0	182.0	6.0	6.0	17.0	0.0
9990003904564	F	30	에스프레소 베리에이션	118.0	0.0	5.0	78.0	33.0	9.0	4.0	0.0
9990003904564	F	30	음료	5.0	0.0	5.0	78.0	33.0	9.0	4.0	0.0
9990003904564	F	30	티 베리에이션	6.0	0.0	5.0	78.0	33.0	9.0	4.0	0.0
9990014224274	M	40	에스프레소 베리에이션	25.0	0.0	0.0	15.0	12.0	7.0	6.0	0.0
9990014224274	M	40	음료	15.0	0.0	0.0	15.0	12.0	7.0	6.0	0.0
1000000041198	F	40	에스프레소 베리에이션	128.0	32.0	64.0	10.0	19.0	30.0	28.0	0.0
1000000041198	F	40	음료	28.0	32.0	64.0	10.0	19.0	30.0	28.0	0.0
1000000041198	F	40	티 베리에이션	27.0	32.0	64.0	10.0	19.0	30.0	28.0	0.0
9990012751198	F	30	에스프레소 베리에이션	16.0	0.0	10.0	20.0	9.0	9.0	0.0	0.0
9990012751198	F	30	음료	10.0	0.0	10.0	20.0	9.0	9.0	0.0	0.0
9990012751198	F	30	티 베리에이션	22.0	0.0	10.0	20.0	9.0	9.0	0.0	0.0
9990026960419	F	20	에스프레소 베리에이션	17.0	0.0	4.0	4.0	9.0	7.0	2.0	0.0
9990026960419	F	20	음료	4.0	0.0	4.0	4.0	9.0	7.0	2.0	0.0
9990026960419	F	20	티 베리에이션	5.0	0.0	4.0	4.0	9.0	7.0	2.0	0.0
1000000718343	F	40	에스프레소 베리에이션	30.0	0.0	3.0	25.0	23.0	0.0	0.0	0.0
1000000718343	F	40	음료	16.0	0.0	3.0	25.0	23.0	0.0	0.0	0.0
1000000718343	F	40	티 베리에이션	5.0	0.0	3.0	25.0	23.0	0.0	0.0	0.0
1000000380746	F	20	에스프레소 베리에이션	89.0	0.0	57.0	22.0	39.0	3.0	1.0	0.0
1000000380746	F	20	음료	23.0	0.0	57.0	22.0	39.0	3.0	1.0	0.0
1000000380746	F	20	티 베리에이션	10.0	0.0	57.0	22.0	39.0	3.0	1.0	0.0
9990001093730	F	40	에스프레소 베리에이션	7.0	1.0	2.0	3.0	2.0	9.0	0.0	0.0
9990001093730	F	40	음료	2.0	1.0	2.0	3.0	2.0	9.0	0.0	0.0
9990001093730	F	40	티 베리에이션	8.0	1.0	2.0	3.0	2.0	9.0	0.0	0.0
1000000402952	M	30	에스프레소 베리에이션	19.0	0.0	4.0	8.0	6.0	3.0	7.0	0.0
